,Timestamp,RR-intervals
866,1707285909.06,624.0
867,1707285909.684,624.0
868,1707285910.3,616.0
869,1707285910.916,616.0
870,1707285911.532,616.0
871,1707285912.14,608.0
872,1707285912.756,616.0
873,1707285913.404,648.0
874,1707285914.084,680.0
875,1707285914.82,736.0
876,1707285915.612,792.0
877,1707285916.348,736.0
878,1707285917.1,752.0
879,1707285917.828,728.0
880,1707285918.58,752.0
881,1707285919.356,776.0
882,1707285920.092,736.0
883,1707285920.804,712.0
884,1707285921.508,704.0
885,1707285922.172,664.0
886,1707285922.82,648.0
887,1707285923.46,640.0
888,1707285924.084,624.0
889,1707285924.724,640.0
890,1707285925.412,688.0
891,1707285926.152,740.0
892,1707285926.944,792.0
893,1707285927.664,720.0
894,1707285928.352,688.0
895,1707285929.048,696.0
896,1707285929.72,672.0
897,1707285930.392,672.0
898,1707285931.064,672.0
899,1707285931.728,664.0
900,1707285932.392,664.0
901,1707285933.048,656.0
902,1707285933.696,648.0
903,1707285934.36,664.0
904,1707285935.016,656.0
905,1707285935.672,656.0
906,1707285936.336,664.0
907,1707285936.984,648.0
908,1707285937.624,640.0
909,1707285938.256,632.0
910,1707285938.888,632.0
911,1707285939.512,624.0
912,1707285940.136,624.0
913,1707285940.744,608.0
914,1707285941.368,624.0
915,1707285941.984,616.0
916,1707285942.616,632.0
917,1707285943.248,632.0
918,1707285943.88,632.0
919,1707285944.512,632.0
920,1707285945.144,632.0
921,1707285945.776,632.0
922,1707285946.4,624.0
923,1707285947.016,616.0
924,1707285947.632,616.0
925,1707285948.264,632.0
926,1707285948.936,672.0
927,1707285949.632,696.0
928,1707285950.36,728.0
929,1707285951.12,760.0
930,1707285951.872,752.0
931,1707285952.568,696.0
932,1707285953.24,672.0
933,1707285953.904,664.0
934,1707285954.568,664.0
935,1707285955.24,672.0
936,1707285955.952,712.0
937,1707285956.664,712.0
938,1707285957.36,696.0
939,1707285958.04,680.0
940,1707285958.704,664.0
941,1707285959.36,656.0
942,1707285960.008,648.0
943,1707285960.648,640.0
944,1707285961.256,608.0
945,1707285961.864,608.0
946,1707285962.48,616.0
947,1707285963.08,600.0
948,1707285963.688,608.0
949,1707285964.288,600.0
950,1707285964.896,608.0
951,1707285965.584,688.0
952,1707285966.36,776.0
953,1707285967.184,824.0
954,1707285968.056,872.0
955,1707285968.824,768.0
956,1707285969.52,696.0
957,1707285970.2,680.0
958,1707285970.856,656.0
959,1707285971.504,648.0
960,1707285972.144,640.0
961,1707285972.776,632.0
962,1707285973.4,624.0
963,1707285974.016,616.0
964,1707285974.632,616.0
965,1707285975.248,616.0
966,1707285975.864,616.0
967,1707285976.464,600.0
968,1707285977.056,592.0
969,1707285977.648,592.0
970,1707285978.24,592.0
971,1707285978.816,576.0
972,1707285979.392,576.0
973,1707285979.968,576.0
974,1707285980.536,568.0
975,1707285981.112,576.0
976,1707285981.696,584.0
977,1707285982.272,576.0
978,1707285982.856,584.0
979,1707285983.44,584.0
980,1707285984.032,592.0
981,1707285984.616,584.0
982,1707285985.192,576.0
983,1707285985.776,584.0
984,1707285986.344,568.0
985,1707285986.904,560.0
986,1707285987.456,552.0
987,1707285988.008,552.0
988,1707285988.56,552.0
989,1707285989.112,552.0
990,1707285989.716,604.0
991,1707285990.372,656.0
992,1707285990.996,624.0
993,1707285991.612,616.0
994,1707285992.228,616.0
995,1707285992.844,616.0
996,1707285993.46,616.0
997,1707285994.06,600.0
998,1707285994.66,600.0
999,1707285995.244,584.0
1000,1707285995.828,584.0
1001,1707285996.396,568.0
1002,1707285996.98,584.0
1003,1707285997.556,576.0
1004,1707285998.132,576.0
1005,1707285998.708,576.0
1006,1707285999.284,576.0
1007,1707285999.868,584.0
1008,1707286000.436,568.0
1009,1707286001.012,576.0
1010,1707286001.588,576.0
1011,1707286002.18,592.0
1012,1707286002.828,648.0
1013,1707286003.572,744.0
1014,1707286004.332,760.0
1015,1707286005.164,832.0
1016,1707286005.964,800.0
1017,1707286006.788,824.0
1018,1707286007.62,832.0
1019,1707286008.412,792.0
1020,1707286009.14,728.0
1021,1707286009.852,712.0
1022,1707286010.548,696.0
1023,1707286011.228,680.0
1024,1707286011.9,672.0
1025,1707286012.564,664.0
1026,1707286013.26,696.0
1027,1707286014.076,816.0
1028,1707286014.836,760.0
1029,1707286015.612,776.0
1030,1707286016.388,776.0
1031,1707286017.148,760.0
1032,1707286017.876,728.0
1033,1707286018.604,728.0
1034,1707286019.316,712.0
1035,1707286020.044,728.0
1036,1707286020.756,712.0
1037,1707286021.556,800.0
1038,1707286022.388,832.0
1039,1707286023.156,768.0
1040,1707286023.876,720.0
1041,1707286024.58,704.0
1042,1707286025.252,672.0
1043,1707286025.9,648.0
1044,1707286026.54,640.0
1045,1707286027.188,648.0
1046,1707286027.836,648.0
1047,1707286028.492,656.0
1048,1707286029.196,704.0
1049,1707286029.908,712.0
1050,1707286030.604,696.0
1051,1707286031.276,672.0
1052,1707286031.956,680.0
1053,1707286032.62,664.0
1054,1707286033.308,688.0
1055,1707286033.98,672.0
1056,1707286034.652,672.0
1057,1707286035.332,680.0
1058,1707286036.028,696.0
1059,1707286036.716,688.0
1060,1707286037.388,672.0
1061,1707286038.06,672.0
1062,1707286038.732,672.0
1063,1707286039.412,680.0
1064,1707286040.116,704.0
1065,1707286040.836,720.0
